ID1,HHID,HV201,HV202,HV204,HV205,HV206,HV207,HV208,HV209,HV210,HV211,HV212,HV213,HV214,HV215,HV216,HV217,HV218,HV219,HV220,HV221,HV225,HV226,HV227,HV228,HV234,HV235,HV236,HV237,HV237A,HV237B,HV237C,HV237D,HV237E,HV237F,HV237G,HV237H,HV237I,HV237J,HV237K,HV237X,HV237Z,HV238,HV239,HV240,HV241,HV242,HV243A,HV243B,HV243C,HV243D,HV244,HV245,HV246,HV246A,HV246B,HV246C,HV246D,HV246E,HV246F,HV246G,HV246H,HV246I,HV246J,HV246K,HV247,HV248,HV249,HV250,HV251,HML1,HML1A,HML2,SHVER,SHREGION,SHSEMES,SHPROVIN,SHDISTRI,SHTOTH,SH42,SH43,SH48,SH49,SH50,SH51,SH52,SH56,SH58,SH59,SH60,SH61A,SH61B,SH61C,SH61D,SH61E,SH61J,SH61K,SH61L,SH61M,SH61N,SH61O,SH61P,SH61Q,SH61R,SH61S,SH63,SH64,SH66,SH69,SH70,SH71,SH72,SXH73,SH76A,SH76B,SH76C,SH76D,SH76E,SH77F,SH78,SH79,SH224,SH225U,SH225,SH227,QH227A,QH227B,HV270,HV271
2024,      325702001,12, ,3,11,1,0,1,0,0,0,0,34,21,31,1,1,1,2,27,0,1,2, , ,994, ,1,1,1,0,0,0,0,0,0, , , , ,0, , , , , ,1,1, ,0,0,0, ,0,0, ,0,0,0, ,0,0,0,0, , , , , , , , , ,0,3,1,1,1,1,0, ,1,3,1, , , , , , ,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0, , , ,1,1,1, ,1,1,0,0,1,0,0, ,9, , ,1,1,1,2,.133488583252259
2024,      325703401,11, ,996,11,1,1,1,1,0,0,0,34,21,34,2,3,1,1,80,1,0,2, , ,994, , ,1,1,0,0,0,0,0,0, , , , ,0, , , , , ,1,1, ,0,0,0, ,0,0, ,0,0,0, ,0,0,0,0, , , , , , , , , ,0,3,1,1,1,1,1, ,1,3,1, , , , , , ,0,1,0,1,0,1,1,1,0,0,0,1,1,0,0,0, , , ,1,6,2, ,1,0,1,1,0,0,0, ,9, , ,1,1,1,3,.307974374219949
2024,      325707001,11, ,996,11,1,1,1,1,0,0,0,34,31,31,3,4,1,1,71,0,0,2, , ,994, , ,1,1,0,0,0,0,0,0, , , , ,0, , , , , ,1,1, ,0,0,0, ,0,0, ,0,0,0, ,0,0,0,0, , , , , , , , , ,0,3,1,1,1,1,1, ,1,3,1, , , , , , ,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0, , , ,1,3,3, ,1,1,0,0,0,0,0, ,9, , ,9, , ,3,.850137661936714
2024,      325707301, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,3,1,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2024,      325707401,11, ,996,11,1,0,1,1,0,0,0,33,31,31,1,1,1,2,32,0,0,2, , ,994, , ,1,1,0,0,0,0,0,0, , , , ,0, , , , , ,0,1, ,0,0,0, ,0,0, ,0,0,0, ,0,0,0,0, , , , , , , , , ,0,3,1,1,1,1,1, ,1,3,1, , , , , , ,1,0,1,1,1,1,1,1,0,0,0,1,1,0,0,0, , , ,1,1,1, ,1,1,0,0,1,0,0, ,9, , ,1,1,1,5,1.50423305052595
2024,      325710301,11, ,996,11,1,1,1,0,0,0,1,33,31,34,6,4,1,2,73,0,0,2, , ,994, , ,1,1,0,0,0,0,0,0, , , , ,0, , , , , ,1,1, ,0,0,1,1,0,0, ,0,0,0, ,0,0,0,0, , , , , , , , , ,0,3,1,1,1,1,1, ,1,3,1, , , , , , ,1,0,1,1,0,1,1,1,0,0,1,0,1,0,0,0, , , ,1,7,6, ,1,1,0,0,0,0,1,10,9, , ,9, , ,4,1.05945130518247
2024,      325710601,11, ,996,11,1,1,1,1,0,0,1,33,31,31,3,4,1,1,62,1,0,2, , ,994, , ,1,1,0,0,0,0,0,0, , , , ,0, , , , , ,1,1, ,0,0,0, ,0,0, ,0,0,0, ,0,0,0,0, , , , , , , , , ,0,3,1,1,1,2,1, ,1,3,1, , , , , , ,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0, , , ,1,5,3, ,1,1,1,0,1,0,0, ,9, , ,1,1,1,5,1.83668450551762
2024,      325710602,11, ,996,11,1,0,1,1,0,0,1, , , ,2,2,1,1,28,0,0,2, , ,994, , ,1,0,0,0,1,0,0,0, , , , ,0, , , , , ,1,1, ,0,0,0, ,0,0, ,0,0,0, ,0,0,0,0, , , , , , , , , ,0,3,1,1,1,2,0, ,1,3,1, , , , , , ,0,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0, , , ,1,2,2, , , , , , ,0,0, ,9, , ,9, , ,5,1.46346960825698
2024,      325712001, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,3,1,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2024,      325712401,11, ,996,11,1,1,1,1,1,1,0,34,21,34,4,4,1,1,47,1,0,2, , ,994, , ,1,1,0,0,0,0,0,0, , , , ,0, , , , , ,1,1, ,0,0,0, ,1,0, ,0,0,0, ,0,10,0,0, , , , , , , , , ,0,3,1,1,1,1,1, ,1,3,1, , , , , , ,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0, , , ,1,5,4, ,1,1,1,0,0,0,0, ,9, , ,1,1,1,4,.959334986456487
