pdf_name,mes,mes_num,dia,precio_ica,precio_libertad,precio_lima
18_setiembre_2025.pdf,sep,9,16,5.29,4.9,5.1
18_setiembre_2025.pdf,sep,9,17,5.25,4.9,5.2
19_diciembre_2025.pdf,dic,12,3,5.88,5.8,4.23
19_diciembre_2025.pdf,dic,12,4,5.67,5.6,4.75
19_diciembre_2025.pdf,dic,12,5,5.76,5.3,4.8
19_diciembre_2025.pdf,dic,12,6,5.99,5.1,4.8
19_diciembre_2025.pdf,dic,12,8,5.73,4.8,4.23
19_diciembre_2025.pdf,dic,12,9,5.18,4.6,4.8
19_diciembre_2025.pdf,dic,12,10,5.28,4.4,4.23
19_diciembre_2025.pdf,dic,12,11,5.04,4.1,6.73
19_diciembre_2025.pdf,dic,12,12,4.49,3.8,6.23
19_diciembre_2025.pdf,dic,12,13,5.47,3.8,6.23
19_diciembre_2025.pdf,dic,12,15,4.86,3.4,6.23
19_diciembre_2025.pdf,dic,12,16,4.39,3.4,6.23
19_diciembre_2025.pdf,dic,12,17,3.76,3.1,6.23
19_marzo_2026.pdf,mar,3,11,6.19,5.8,6.27
19_marzo_2026.pdf,mar,3,12,6.66,5.85,6.38
19_marzo_2026.pdf,mar,3,14,7.12,5.85,6.09
19_marzo_2026.pdf,mar,3,16,6.49,6.0,6.12
19_marzo_2026.pdf,mar,3,17,6.67,5.78,6.68
19_marzo_2026.pdf,mar,3,18,6.53,5.8,6.27
19_noviembre_2025.pdf,nov,11,4,4.86,4.4,4.55
19_noviembre_2025.pdf,nov,11,6,4.92,4.2,4.55
19_noviembre_2025.pdf,nov,11,7,4.59,3.9,4.55
19_noviembre_2025.pdf,nov,11,8,4.91,3.9,4.55
19_noviembre_2025.pdf,nov,11,10,4.34,3.8,4.55
19_noviembre_2025.pdf,nov,11,11,4.34,3.7,4.55
19_noviembre_2025.pdf,nov,11,12,4.29,3.7,4.53
19_noviembre_2025.pdf,nov,11,13,4.15,3.7,4.53
19_noviembre_2025.pdf,nov,11,14,4.61,3.7,4.53
19_noviembre_2025.pdf,nov,11,15,4.61,3.7,4.53
19_noviembre_2025.pdf,nov,11,17,4.17,3.7,4.53
19_setiembre_2025.pdf,sep,9,3,5.41,4.9,5.5
19_setiembre_2025.pdf,sep,9,4,5.31,4.8,5.5
19_setiembre_2025.pdf,sep,9,5,5.19,4.7,5.5
19_setiembre_2025.pdf,sep,9,6,5.22,4.6,5.4
19_setiembre_2025.pdf,sep,9,8,5.02,4.5,5.4
19_setiembre_2025.pdf,sep,9,9,5.09,4.5,5.4
19_setiembre_2025.pdf,sep,9,11,5.03,4.7,5.1
19_setiembre_2025.pdf,sep,9,12,4.88,4.7,5.1
19_setiembre_2025.pdf,sep,9,13,5.11,4.7,5.1
19_setiembre_2025.pdf,sep,9,15,5.14,4.9,5.1
19_setiembre_2025.pdf,sep,9,16,5.29,4.9,5.1
19_setiembre_2025.pdf,sep,9,17,5.25,4.9,5.2
20_abril_2026.pdf,abr,4,7,6.1,5.35,6.48
20_abril_2026.pdf,abr,4,10,6.37,5.8,6.48
20_abril_2026.pdf,abr,4,14,6.36,5.75,6.1
20_abril_2026.pdf,abr,4,17,6.06,5.4,6.48
20_marzo_2026.pdf,mar,3,11,6.19,5.8,6.27
20_marzo_2026.pdf,mar,3,12,6.66,5.85,6.38
20_marzo_2026.pdf,mar,3,14,7.12,5.85,6.09
20_marzo_2026.pdf,mar,3,16,6.49,6.0,6.12
20_marzo_2026.pdf,mar,3,17,6.67,5.78,6.68
20_marzo_2026.pdf,mar,3,18,6.53,5.8,6.27
20_noviembre_2025.pdf,nov,11,4,4.86,4.4,4.55
20_noviembre_2025.pdf,nov,11,6,4.92,4.2,4.55
20_noviembre_2025.pdf,nov,11,7,4.59,3.9,4.55
20_noviembre_2025.pdf,nov,11,8,4.91,3.9,4.55
20_noviembre_2025.pdf,nov,11,10,4.34,3.8,4.55
20_noviembre_2025.pdf,nov,11,11,4.34,3.7,4.55
20_noviembre_2025.pdf,nov,11,12,4.29,3.7,4.53
20_noviembre_2025.pdf,nov,11,13,4.15,3.7,4.53
20_noviembre_2025.pdf,nov,11,14,4.61,3.7,4.53
20_noviembre_2025.pdf,nov,11,15,4.61,3.7,4.53
20_noviembre_2025.pdf,nov,11,17,4.17,3.7,4.53
20_noviembre_2025.pdf,nov,11,18,4.17,3.9,4.53
20_noviembre_2025.pdf,nov,11,19,4.34,4.0,4.53
20_octubre_2025.pdf,oct,10,4,5.18,4.3,5.0
20_octubre_2025.pdf,oct,10,7,4.37,4.1,5.0
20_octubre_2025.pdf,oct,10,8,4.4,4.1,5.0
20_octubre_2025.pdf,oct,10,9,4.25,4.2,5.0
20_octubre_2025.pdf,oct,10,10,4.28,4.1,4.7
20_octubre_2025.pdf,oct,10,11,4.62,4.1,4.7
20_octubre_2025.pdf,oct,10,13,4.23,4.1,4.7
20_octubre_2025.pdf,oct,10,14,4.3,4.1,4.6
20_octubre_2025.pdf,oct,10,15,4.33,4.0,4.45
20_octubre_2025.pdf,oct,10,16,4.34,4.0,4.45
20_octubre_2025.pdf,oct,10,17,4.38,4.0,4.45
20_octubre_2025.pdf,oct,10,18,4.81,4.1,4.45
21_abril_2026.pdf,abr,4,7,6.1,5.35,6.48
21_abril_2026.pdf,abr,4,10,6.37,5.8,6.48
21_abril_2026.pdf,abr,4,14,6.36,5.75,6.1
21_abril_2026.pdf,abr,4,17,6.06,5.4,6.48
21_noviembre_2025.pdf,nov,11,6,4.92,4.2,4.55
21_noviembre_2025.pdf,nov,11,7,4.59,3.9,4.55
21_noviembre_2025.pdf,nov,11,8,4.91,3.9,4.55
21_noviembre_2025.pdf,nov,11,10,4.34,3.8,4.55
21_noviembre_2025.pdf,nov,11,11,4.34,3.7,4.55
21_noviembre_2025.pdf,nov,11,12,4.29,3.7,4.53
21_noviembre_2025.pdf,nov,11,13,4.15,3.7,4.53
21_noviembre_2025.pdf,nov,11,14,4.61,3.7,4.53
21_noviembre_2025.pdf,nov,11,15,4.61,3.7,4.53
21_noviembre_2025.pdf,nov,11,17,4.17,3.7,4.53
21_noviembre_2025.pdf,nov,11,18,4.17,3.9,4.53
21_noviembre_2025.pdf,nov,11,19,4.34,4.0,4.53
21_octubre_2025.pdf,oct,10,7,4.37,4.1,5.0
21_octubre_2025.pdf,oct,10,8,4.4,4.1,5.0
21_octubre_2025.pdf,oct,10,9,4.25,4.2,5.0
21_octubre_2025.pdf,oct,10,10,4.28,4.1,4.7
21_octubre_2025.pdf,oct,10,11,4.62,4.1,4.7
21_octubre_2025.pdf,oct,10,13,4.23,4.1,4.7
21_octubre_2025.pdf,oct,10,14,4.3,4.1,4.6
21_octubre_2025.pdf,oct,10,15,4.33,4.0,4.45
21_octubre_2025.pdf,oct,10,16,4.34,4.0,4.45
21_octubre_2025.pdf,oct,10,17,4.38,4.0,4.45
21_octubre_2025.pdf,oct,10,18,4.81,4.1,4.45
21_octubre_2025.pdf,oct,10,20,4.36,4.1,4.45
22_abril_2026.pdf,abr,4,7,6.1,5.35,6.48
22_abril_2026.pdf,abr,4,10,6.37,5.8,6.48
22_abril_2026.pdf,abr,4,14,6.36,5.75,6.1
22_abril_2026.pdf,abr,4,17,6.06,5.4,6.48
22_abril_2026.pdf,abr,4,21,5.88,5.25,5.8
22_diciembre_2025.pdf,dic,12,6,5.99,5.1,4.8
22_diciembre_2025.pdf,dic,12,8,5.73,4.8,4.23
22_diciembre_2025.pdf,dic,12,9,5.18,4.6,4.8
22_diciembre_2025.pdf,dic,12,10,5.28,4.4,4.23
22_diciembre_2025.pdf,dic,12,11,5.04,4.1,6.73
22_diciembre_2025.pdf,dic,12,12,4.49,3.8,6.23
22_diciembre_2025.pdf,dic,12,13,5.47,3.8,6.23
22_diciembre_2025.pdf,dic,12,15,4.86,3.4,6.23
22_diciembre_2025.pdf,dic,12,16,4.39,3.4,6.23
22_diciembre_2025.pdf,dic,12,17,3.76,3.1,6.23
22_octubre_2025.pdf,oct,10,7,4.37,4.1,5.0
22_octubre_2025.pdf,oct,10,8,4.4,4.1,5.0
22_octubre_2025.pdf,oct,10,9,4.25,4.2,5.0
22_octubre_2025.pdf,oct,10,10,4.28,4.1,4.7
22_octubre_2025.pdf,oct,10,11,4.62,4.1,4.7
22_octubre_2025.pdf,oct,10,13,4.23,4.1,4.7
22_octubre_2025.pdf,oct,10,14,4.3,4.1,4.6
22_octubre_2025.pdf,oct,10,15,4.33,4.0,4.45
22_octubre_2025.pdf,oct,10,16,4.34,4.0,4.45
22_octubre_2025.pdf,oct,10,17,4.38,4.0,4.45
22_octubre_2025.pdf,oct,10,18,4.81,4.1,4.45
22_octubre_2025.pdf,oct,10,20,4.36,4.1,4.45
22_octubre_2025.pdf,oct,10,21,4.99,4.1,4.45
23_marzo_2026.pdf,mar,3,11,6.19,5.8,6.27
23_marzo_2026.pdf,mar,3,12,6.66,5.85,6.38
23_marzo_2026.pdf,mar,3,14,7.12,5.85,6.09
23_marzo_2026.pdf,mar,3,16,6.49,6.0,6.12
23_marzo_2026.pdf,mar,3,17,6.67,5.78,6.68
23_marzo_2026.pdf,mar,3,18,6.53,5.8,6.27
23_marzo_2026.pdf,mar,3,20,6.3,5.57,6.68
23_octubre_2025.pdf,oct,10,7,4.37,4.1,5.0
23_octubre_2025.pdf,oct,10,8,4.4,4.1,5.0
23_octubre_2025.pdf,oct,10,9,4.25,4.2,5.0
23_octubre_2025.pdf,oct,10,10,4.28,4.1,4.7
23_octubre_2025.pdf,oct,10,11,4.62,4.1,4.7
23_octubre_2025.pdf,oct,10,13,4.23,4.1,4.7
23_octubre_2025.pdf,oct,10,14,4.3,4.1,4.6
23_octubre_2025.pdf,oct,10,15,4.33,4.0,4.45
23_octubre_2025.pdf,oct,10,16,4.34,4.0,4.45
23_octubre_2025.pdf,oct,10,17,4.38,4.0,4.45
23_octubre_2025.pdf,oct,10,18,4.81,4.1,4.45
23_octubre_2025.pdf,oct,10,20,4.36,4.1,4.45
23_octubre_2025.pdf,oct,10,21,4.99,4.1,4.45
23_octubre_2025.pdf,oct,10,22,4.49,4.2,4.45
23_setiembre_2025.pdf,sep,9,8,5.02,4.5,5.4
23_setiembre_2025.pdf,sep,9,9,5.09,4.5,5.4
23_setiembre_2025.pdf,sep,9,11,5.03,4.7,5.1
23_setiembre_2025.pdf,sep,9,12,4.88,4.7,5.1
23_setiembre_2025.pdf,sep,9,13,5.11,4.7,5.1
