pdf_name,mes,mes_num,dia,mayorista,minorista
16_diciembre_2025.pdf,dic,12,11,5.04,6.73
16_diciembre_2025.pdf,dic,12,12,4.49,6.23
16_diciembre_2025.pdf,dic,12,13,5.47,6.23
16_diciembre_2025.pdf,dic,12,14,4.26,6.23
16_diciembre_2025.pdf,dic,12,15,4.86,6.23
16_enero_2026.pdf,ene,1,2,4.03,4.03
16_enero_2026.pdf,ene,1,4,3.99,4.03
16_enero_2026.pdf,ene,1,5,4.15,4.03
16_enero_2026.pdf,ene,1,6,4.23,4.0
16_enero_2026.pdf,ene,1,7,4.07,3.9
16_enero_2026.pdf,ene,1,8,3.75,3.77
16_enero_2026.pdf,ene,1,9,3.63,3.65
16_enero_2026.pdf,ene,1,10,4.56,4.03
16_enero_2026.pdf,ene,1,11,3.39,4.03
16_enero_2026.pdf,ene,1,12,3.74,4.03
16_enero_2026.pdf,ene,1,13,3.76,4.08
16_enero_2026.pdf,ene,1,14,3.86,4.08
16_enero_2026.pdf,ene,1,15,3.99,4.08
16_setiembre_2025.pdf,sep,9,3,5.7,7.15
16_setiembre_2025.pdf,sep,9,4,5.7,7.15
16_setiembre_2025.pdf,sep,9,5,5.65,7.12
16_setiembre_2025.pdf,sep,9,6,5.65,7.12
16_setiembre_2025.pdf,sep,9,7,5.65,7.12
16_setiembre_2025.pdf,sep,9,8,5.45,6.92
16_setiembre_2025.pdf,sep,9,9,5.3,6.92
16_setiembre_2025.pdf,sep,9,10,5.25,6.73
16_setiembre_2025.pdf,sep,9,11,5.25,6.73
16_setiembre_2025.pdf,sep,9,12,5.25,6.78
16_setiembre_2025.pdf,sep,9,13,5.23,6.78
16_setiembre_2025.pdf,sep,9,14,5.23,6.78
16_setiembre_2025.pdf,sep,9,15,5.28,6.52
16_setiembre_2025.pdf,ago,8,31,5.15,5.9
16_setiembre_2025.pdf,sep,9,7,4.9,5.4
16_setiembre_2025.pdf,sep,9,10,5.05,5.1
16_setiembre_2025.pdf,sep,9,14,4.8,5.1
17_abril_2026.pdf,abr,4,4,5.95,7.31
17_abril_2026.pdf,abr,4,5,5.95,7.31
17_abril_2026.pdf,abr,4,6,5.93,7.16
17_abril_2026.pdf,abr,4,7,5.98,7.16
17_abril_2026.pdf,abr,4,8,6.08,7.15
17_abril_2026.pdf,abr,4,9,6.2,7.15
17_abril_2026.pdf,abr,4,10,6.25,7.24
17_abril_2026.pdf,abr,4,11,6.25,7.24
17_abril_2026.pdf,abr,4,12,6.25,7.24
17_abril_2026.pdf,abr,4,13,6.25,7.38
17_abril_2026.pdf,abr,4,14,6.25,7.38
17_abril_2026.pdf,abr,4,15,6.25,7.49
17_abril_2026.pdf,abr,4,16,6.23,7.49
17_abril_2026.pdf,abr,4,1,5.75,6.48
17_abril_2026.pdf,abr,4,2,5.73,6.48
17_abril_2026.pdf,abr,4,3,6.0,6.48
17_abril_2026.pdf,abr,4,4,5.95,6.48
17_abril_2026.pdf,abr,4,5,5.47,6.48
17_abril_2026.pdf,abr,4,6,5.79,6.48
17_abril_2026.pdf,abr,4,8,6.15,6.48
17_abril_2026.pdf,abr,4,9,6.29,6.48
17_abril_2026.pdf,abr,4,11,6.81,6.48
17_abril_2026.pdf,abr,4,12,6.06,6.48
17_abril_2026.pdf,abr,4,13,6.25,6.48
17_abril_2026.pdf,abr,4,15,6.31,6.48
17_abril_2026.pdf,abr,4,16,6.13,6.48
17_diciembre_2025.pdf,dic,12,4,5.73,6.54
17_diciembre_2025.pdf,dic,12,5,5.73,6.75
17_diciembre_2025.pdf,dic,12,6,5.73,6.75
17_diciembre_2025.pdf,dic,12,7,5.73,6.75
17_diciembre_2025.pdf,dic,12,8,5.73,6.79
17_diciembre_2025.pdf,dic,12,9,5.73,6.79
17_diciembre_2025.pdf,dic,12,10,5.68,6.86
17_diciembre_2025.pdf,dic,12,11,5.58,6.86
17_diciembre_2025.pdf,dic,12,12,5.5,6.86
17_diciembre_2025.pdf,dic,12,13,5.5,6.86
17_diciembre_2025.pdf,dic,12,14,5.5,6.86
17_diciembre_2025.pdf,dic,12,15,5.2,6.86
17_diciembre_2025.pdf,dic,12,16,5.2,6.86
17_diciembre_2025.pdf,dic,12,7,5.39,4.8
17_diciembre_2025.pdf,dic,12,14,4.26,6.23
17_diciembre_2025.pdf,dic,12,16,4.39,6.23
17_febrero_2026.pdf,feb,2,4,5.25,6.15
17_febrero_2026.pdf,feb,2,5,5.55,6.15
17_febrero_2026.pdf,feb,2,6,5.95,6.72
17_febrero_2026.pdf,feb,2,7,6.08,6.72
17_febrero_2026.pdf,feb,2,8,6.08,6.72
17_febrero_2026.pdf,feb,2,9,6.1,7.03
17_febrero_2026.pdf,feb,2,10,6.28,7.03
