pdf_name,mes,mes_num,dia,oferta_lima,oferta_sierra,oferta_costa_norte,oferta_selva,oferta_costa_sur,oferta_total
17_febrero_2026.pdf,feb,2,9,92664.0,85925.0,37303.0,8874.0,0.0,224766.0
17_febrero_2026.pdf,feb,2,10,115681.0,60728.0,13209.0,4460.0,0.0,194078.0
17_febrero_2026.pdf,feb,2,11,101300.0,31005.0,14644.0,958.0,0.0,147906.0
17_febrero_2026.pdf,feb,2,12,79849.0,48202.0,22986.0,1346.0,0.0,152383.0
17_febrero_2026.pdf,feb,2,13,93987.0,35670.0,6444.0,6831.0,0.0,142933.0
17_febrero_2026.pdf,feb,2,14,60325.0,20669.0,2413.0,2573.0,0.0,85979.0
17_febrero_2026.pdf,feb,2,15,318.0,0.0,0.0,0.0,0.0,318.0
17_febrero_2026.pdf,feb,2,16,97443.0,103696.0,8895.0,4428.0,0.0,214461.0
17_noviembre_2025.pdf,nov,11,4,158255.0,81927.0,23104.0,10221.0,0.0,273507.0
17_noviembre_2025.pdf,nov,11,5,119283.0,75402.0,14524.0,5840.0,0.0,215049.0
17_noviembre_2025.pdf,nov,11,6,95941.0,88692.0,20165.0,4801.0,0.0,209599.0
17_noviembre_2025.pdf,nov,11,7,115469.0,72719.0,9765.0,8439.0,0.0,206393.0
17_noviembre_2025.pdf,nov,11,8,86793.0,63589.0,12949.0,7949.0,0.0,171280.0
17_noviembre_2025.pdf,nov,11,9,26729.0,0.0,0.0,0.0,0.0,26729.0
17_noviembre_2025.pdf,nov,11,10,116609.0,60996.0,60749.0,11726.0,0.0,250079.0
17_noviembre_2025.pdf,nov,11,11,108419.0,78737.0,13806.0,2973.0,0.0,203936.0
17_noviembre_2025.pdf,nov,11,12,122387.0,90442.0,8696.0,3831.0,0.0,225355.0
17_noviembre_2025.pdf,nov,11,13,98236.0,54030.0,27051.0,10233.0,0.0,189550.0
17_noviembre_2025.pdf,nov,11,14,39806.0,65596.0,18144.0,3805.0,0.0,127350.0
17_noviembre_2025.pdf,nov,11,15,80479.0,60732.0,18132.0,5500.0,0.0,164843.0
17_noviembre_2025.pdf,nov,11,16,35486.0,0.0,0.0,0.0,0.0,35486.0
17_noviembre_2025.pdf,nov,11,17,,,,,,
