ID1,HHID,NRO_ORDEN_ID,QH30M,QH31M,QH32M_M,QH32M_Y,QH33M
2024,      352406101,1,1,64,2,2021, 
2024,      352406101,2,1,65,10,2022, 
2024,      352406101,3,2,94,4,2024, 
2024,      352500201,1,1,80,5,2024, 
2024,      352605801,1,2,45,8,2021,4
2024,      352605801,2,1,51,9,2021, 
2024,      352701401,1,1,70,6,2020, 
2024,      352914901,1,2,76,3,2024, 
2024,      352915101,1,1,98,2,2021, 
2024,      353214101,1,1,60,2,2021, 
2024,      353214101,2,1,87,2,2021, 
2024,      353214101,3,1,65,3,2021, 
2024,      353214101,4,2,90,12,2023, 
2024,      353505801,1,1,69,11,2020, 
2024,      353505801,2,2,42,5,2021,4
2024,      353603401,1,2,61,4,2021, 
2024,      353603401,2,1,87,10,2022, 
2024,      353716501,1,1,39,6,2021, 
2024,      353801901,1,1,14,4,2020, 
2024,      354006901,1,1,88,9,2020, 
2024,      354013201,1,2,72,1,2022, 
2024,      354200801,1,1,90,9,2019, 
2024,      354207801,1,1,43,11,2020, 
2024,      354301901,1,2,78,2,2022, 
2024,      354302101,1,1,45,1,2021, 
2024,      354411901,1,2,63,5,2020, 
2024,      354501301,1,1,69,9,2019, 
2024,      354503601,1,2,100,5,2022, 
2024,      354506001,1,1,72,9,2020, 
2024,      354506001,2,2,50,4,2021, 
2024,      354608101,1,1,75,5,2023, 
2024,      354904701,1,1,62,8,2020, 
2024,      354913301,1,1,65,5,2023, 
2024,      355014601,1,1,64,5,2023, 
2024,      355014701,1,1,34,1,2023, 
2024,      355303401,1,1,67,9,2021, 
2024,      355306101,1,1,73,2,2022, 
2024,      355402301,1,1,85,12,2021, 
2024,      355507601,1,1,71,5,2022, 
2024,      356308601,1,1,68,10,2022, 
2024,      356611401,1,1,37,7,2023, 
2024,      356814001,1,2,28,6,2020,4
2024,      356814901,1,2,72,10,2020, 
2024,      356905901,1,2,91,2,2024, 
2024,      357103001,1,2,69,5,2020, 
